Date,Confirmed,Deceased,Recovered,Grand Total,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3)
14-Mar-20,7,1,1,9,29.18,74.45,7.33,56.96,28.1,7.2,0.75
15-Mar-20,0,0,1,1,56.48,128.62,1.9,67.38,27.76,28.07,0.82
16-Mar-20,0,0,0,0,63.54,137.5,7.93,60.44,38.28,9.23,0.89
17-Mar-20,1,0,0,1,69.45,147.36,14.18,59.67,34.46,4.1,0.98
18-Mar-20,2,0,0,2,65.35,140.79,13.2,64.22,29.4,7.85,0.91
19-Mar-20,4,0,1,5,100.42,195.42,16.44,74.25,35.65,16.45,1.08
20-Mar-20,6,0,2,8,89.3,207.24,36.97,100.61,32.17,12.3,1.38
21-Mar-20,7,0,0,7,83.46,174.71,17.23,78.1,32.69,18.04,1.05
22-Mar-20,0,0,0,0,69.33,129.18,6.75,53.61,30.27,5.97,0.78
23-Mar-20,3,0,0,3,52.9,104.64,5.19,45.16,27.91,13.44,0.77
24-Mar-20,0,0,1,1,48.58,106.74,5.77,45.37,28.06,20.94,0.79
25-Mar-20,5,0,0,5,38.78,71.33,4.67,33.63,29.54,21.72,0.76
26-Mar-20,1,0,0,1,52.01,91.42,3.1,28.69,28.45,14.79,0.69
27-Mar-20,4,0,0,4,22.69,48.85,3.59,27.94,24.91,16.69,0.53
28-Mar-20,9,0,0,9,20.7,41,3.95,29.87,25.02,14.95,0.59
29-Mar-20,23,1,0,24,27.74,59.84,2.52,25.12,22.94,17.18,0.5
30-Mar-20,25,0,0,25,38.78,71.53,2.46,27.77,22.92,17.89,0.59
31-Mar-20,23,0,0,23,35.31,69.44,2.34,27.64,20.92,15.98,0.51
01-Apr-20,32,0,0,32,39.41,79.88,2.6,27.17,22.69,13.91,0.56
02-Apr-20,141,2,2,145,28.24,60.17,2.33,24.98,21.04,10.72,0.56
03-Apr-20,93,2,0,95,32.14,65.75,2.13,26.54,19.02,14.69,0.51
04-Apr-20,59,0,8,67,39.89,79.5,2.45,32.58,19.6,13.49,0.58
05-Apr-20,58,1,0,59,54.27,105.29,2.17,36.2,22.22,22.58,1.5
06-Apr-20,22,0,0,22,63.94,124.43,2.57,35.11,23.39,9.31,0.71
07-Apr-20,51,2,4,57,36.95,97.97,2.24,27.46,22.87,14.15,0.51
08-Apr-20,93,0,1,94,26.76,76.53,2.17,26.44,19.44,17.91,0.5
09-Apr-20,51,3,4,58,41.24,84.88,2.14,29.74,20.68,14.21,0.62
10-Apr-20,183,2,2,187,64.73,118.22,3.08,37.6,22.49,11.2,0.83
11-Apr-20,166,5,0,171,49.9,110.2,2.78,34.6,22.13,22.89,0.7
12-Apr-20,85,5,1,91,41.33,94.81,2.11,27.98,22.18,9.58,0.66
13-Apr-20,356,4,3,363,71.95,145.22,2.46,31.99,24.38,18.44,1.13
14-Apr-20,51,2,0,53,53.81,132.07,2.92,42.07,20.8,13.73,0.8
15-Apr-20,17,2,10,29,63.55,186,2.86,36.28,21,15.64,0.74
20-Apr-20,78,2,141,221,118.43,55.75,1.01,25.47,18.27,34.23,1
21-Apr-20,75,0,180,255,39.42,86.06,1.47,30.33,16.22,108.8,0.66
22-Apr-20,92,1,113,206,94.04,185.04,3.05,44.86,22.91,131.37,0.79
23-Apr-20,128,2,84,214,144.78,206.35,2.5,39.71,26.11,117.88,1.1
24-Apr-20,138,3,49,190,105.7,180.81,3.14,39,28.26,104.56,1.11
25-Apr-20,111,1,12,124,104.36,139.09,1.65,29.27,24.97,109.11,0.69
26-Apr-20,293,0,8,301,47.81,124.3,1.53,26.3,23.09,58.39,0.71
27-Apr-20,190,0,0,190,26.44,52.25,1.76,23.9,19.56,105.49,0.7
28-Apr-20,206,0,201,407,49.43,101.75,1.76,26.18,19.37,100.99,0.74
29-Apr-20,125,2,14,141,67.69,140.52,1.5,27.16,19.56,101.22,0.84
30-Apr-20,76,3,2,81,51.3,114.66,1.7,24.7,18.74,110.19,0.78
01-May-20,223,2,73,298,59.81,137.96,1.54,25.79,19.85,112.1,0.72
02-May-20,384,3,89,476,29.35,80.72,2.01,21.3,18.55,67.65,0.82
08-May-20,338,2,89,429,99.97,179.12,1.18,32.59,26.88,22.55,0.7
09-May-20,224,0,0,224,51.71,121.6,1.73,25.87,20.86,6.88,0.8
10-May-20,381,5,49,435,47.26,99.39,1.96,25.99,19.61,8.18,0.7
11-May-20,310,0,60,370,45.75,95.34,2.19,33.85,19.1,17.38,0.8
12-May-20,406,13,383,802,40.62,92.58,1.98,30.19,18.55,14.4,0.73
13-May-20,359,20,346,725,86.45,177.77,2.01,29.78,21.52,19.74,1.02
14-May-20,472,9,187,668,73.93,151.74,4.76,32.21,19.43,17.56,0.83
15-May-20,425,8,473,906,111.32,118.49,2.63,33.13,23.9,,0.97
